E:\Dataset\blur\archive\defocused_blurred\0_IPHONE-SE_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\100_NIKON-D3400-35MM_F.JPG, Quality: 16, BlurExtent: 0.831, Per: 0.00000, is blur: True, Full image processed
E:\Dataset\blur\archive\defocused_blurred\101_NIKON-D3400-35MM_F.JPG, Quality: 13, BlurExtent: 0.868, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\102_NIKON-D3400-35MM_F.JPG, Quality: 10, BlurExtent: 0.894, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\103_HUAWEI-P20_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\104_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\105_IPHONE-SE_F.jpg, Quality: 1, BlurExtent: 0.986, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\106_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\107_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\108_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\109_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\10_ASUS-ZENFONE-LIVE-ZB501KL_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\110_IPHONE-7_F.jpeg, Quality: 5, BlurExtent: 0.944, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\111_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\112_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\113_SAMSUNG-GALAXY-A5_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\114_ASUS-ZE500KL_F.jpg, Quality: 0, BlurExtent: 0.997, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\115_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\116_BQ-5512L_F.jpg, Quality: 0, BlurExtent: 0.994, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\117_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\118_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 0.993, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\119_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\11_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\120_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\121_HONOR-7X_F.jpg, Quality: 5, BlurExtent: 0.947, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\122_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\123_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\124_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\125_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\126_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\127_IPHONE-8_F.jpeg, Quality: 0, BlurExtent: 0.996, Per: 0.00890, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\128_XIAOMI-MI8-SE_F.jpg, Quality: 3, BlurExtent: 0.960, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\129_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\12_SAMSUNG-GALAXY-J5_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\130_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 0.996, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\131_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\132_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\133_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\134_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\135_NIKON-D3400-18-55MM_F.JPG, Quality: 2, BlurExtent: 0.974, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\136_XIAOMI-REDMI-3S_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\137_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\138_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\139_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 0.991, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\13_IPHONE-8-PLUS_F.jpg, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\140_SAMSUNG-GALAXY-J5_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\141_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\142_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\143_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\144_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\145_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\146_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\147_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\148_NIKON-D3400-18-55MM_F.JPG, Quality: 4, BlurExtent: 0.959, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\149_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 0.996, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\14_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 0.993, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\150_NIKON-D3400-18-55MM_F.JPG, Quality: 1, BlurExtent: 0.987, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\151_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\152_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
