E:\Dataset\blur\archive\sharp\0_IPHONE-SE_S.JPG, Quality: 56, BlurExtent: 0.436, Per: 0.01762, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\100_NIKON-D3400-35MM_S.JPG, Quality: 58, BlurExtent: 0.413, Per: 0.00752, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\101_NIKON-D3400-35MM_S.JPG, Quality: 3, BlurExtent: 0.967, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\sharp\102_NIKON-D3400-35MM_S.JPG, Quality: 25, BlurExtent: 0.743, Per: 0.00099, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\103_HUAWEI-P20_S.jpg, Quality: 94, BlurExtent: 0.059, Per: 0.02986, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\104_IPHONE-SE_S.jpg, Quality: 63, BlurExtent: 0.366, Per: 0.00248, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\105_IPHONE-SE_S.jpg, Quality: 60, BlurExtent: 0.391, Per: 0.00472, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\106_NIKON-D3400-35MM_S.JPG, Quality: 94, BlurExtent: 0.054, Per: 0.11447, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\107_XIAOMI-MI8-SE_S.jpg, Quality: 54, BlurExtent: 0.457, Per: 0.06322, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\108_XIAOMI-MI8-SE_S.jpg, Quality: 33, BlurExtent: 0.668, Per: 0.00234, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\109_HONOR-7X_S.jpg, Quality: 27, BlurExtent: 0.720, Per: 0.01841, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\10_ASUS-ZENFONE-LIVE-ZB501KL_S.jpg, Quality: 36, BlurExtent: 0.639, Per: 0.01108, is blur: True, Full image processed
E:\Dataset\blur\archive\sharp\110_IPHONE-7_S.jpeg, Quality: 80, BlurExtent: 0.193, Per: 0.14146, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\111_IPHONE-7_S.jpeg, Quality: 53, BlurExtent: 0.461, Per: 0.02174, is blur: False, Center-only processed
E:\Dataset\blur\archive\sharp\112_NIKON-D3400-35MM_S.JPG, Quality: 65, BlurExtent: 0.350, Per: 0.00485, is blur: False, Center-only processed
